# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d01-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d01-x01-y01
Title=Leading hard jet $\eta$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\eta$
YLabel=$d^\sigma\,/d\eta\; [\text{pb}/rad]$
PolyMarker=*
ErrorBars=1
## Area: 3.277694e+05
## Num bins: 18
## xlow  	xhigh   	val    	errminus	errplus
2.692794e+00	2.917194e+00	4.909077e-01	1.214939e-02	1.214939e-02
2.917193e+00	3.141593e+00	4.836913e-01	1.212073e-02	1.212073e-02
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d07-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d07-x01-y01
Title=$\Delta^{rel}_{soft}p_{T}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\Delta^{rel}_{soft}p_{T}$
YLabel=$d^\sigma\,/d\Delta^{rel}_{soft}p_{T}\; [\text{pb}]$
PolyMarker=*
ErrorBars=1
## Area: 3.269945e+05
## Num bins: 10
## xlow  	xhigh   	val    	errminus	errplus
0.000000e+00	1.000000e-01	1.022754e+05	1.881249e+04	1.881249e+04
1.000000e-01	2.000000e-01	2.498464e+05	3.946691e+04	3.946691e+04
2.000000e-01	3.000000e-01	3.324861e+05	4.683533e+04	4.683533e+04
3.000000e-01	4.000000e-01	3.501244e+05	4.695212e+04	4.695212e+04
4.000000e-01	5.000000e-01	3.441942e+05	4.250145e+04	4.250145e+04
5.000000e-01	6.000000e-01	2.860209e+05	3.651417e+04	3.651417e+04
6.000000e-01	7.000000e-01	2.714191e+05	3.519387e+04	3.519387e+04
7.000000e-01	8.000000e-01	2.754134e+05	3.777526e+04	3.777526e+04
8.000000e-01	9.000000e-01	3.150298e+05	4.287487e+04	4.287487e+04
9.000000e-01	1.000000e+00	7.431350e+05	1.012284e+05	1.012284e+05
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d08-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d08-x01-y01
Title=Normalized $\Delta^{rel}_{soft}p_{T}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\Delta^{rel}_{soft}p_{T}$
YLabel=$1/\sigma d^\sigma\,/d\Delta^{rel}_{soft}p_{T}\;$
PolyMarker=*
ErrorBars=1
## Area: 9.999999e-01
## Num bins: 10
## xlow  	xhigh   	val    	errminus	errplus
0.000000e+00	1.000000e-01	3.127742e-01	1.813938e-02	1.813938e-02
1.000000e-01	2.000000e-01	7.640693e-01	4.198012e-02	4.198012e-02
2.000000e-01	3.000000e-01	1.016794e+00	3.223236e-02	3.223236e-02
3.000000e-01	4.000000e-01	1.070735e+00	3.379497e-02	3.379497e-02
4.000000e-01	5.000000e-01	1.052599e+00	4.302668e-02	4.302668e-02
5.000000e-01	6.000000e-01	8.746964e-01	3.629373e-02	3.629373e-02
6.000000e-01	7.000000e-01	8.300419e-01	1.782269e-02	1.782269e-02
7.000000e-01	8.000000e-01	8.422570e-01	1.795207e-02	1.795207e-02
8.000000e-01	9.000000e-01	9.634103e-01	3.351642e-02	3.351642e-02
9.000000e-01	1.000000e+00	2.272622e+00	7.512029e-02	7.512029e-02
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d09-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d09-x01-y01
Title=Leading soft jet $\eta$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\eta$
YLabel=$d^\sigma\,/d\eta\; [\text{pb}/rad]$
PolyMarker=*
ErrorBars=1
## Area: 3.270264e+05
## Num bins: 18
## xlow  	xhigh   	val    	errminus	errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	4.356308e+03	1.543267e+03	1.543267e+03
